GAME_DATE,TEAM_NAME,MATCHUP,WL,PTS,PLUS_MINUS
2025-06-22,Indiana Pacers,IND @ OKC,L,91,-12.0
2025-06-22,Oklahoma City Thunder,OKC vs. IND,W,103,12.0
2025-06-19,Indiana Pacers,IND vs. OKC,W,108,17.0
2025-06-19,Oklahoma City Thunder,OKC @ IND,L,91,-17.0
2025-06-16,Oklahoma City Thunder,OKC vs. IND,W,120,11.0
2025-06-16,Indiana Pacers,IND @ OKC,L,109,-11.0
2025-06-13,Oklahoma City Thunder,OKC @ IND,W,111,7.0
2025-06-13,Indiana Pacers,IND vs. OKC,L,104,-7.0
2025-06-11,Indiana Pacers,IND vs. OKC,W,116,9.0
2025-06-11,Oklahoma City Thunder,OKC @ IND,L,107,-9.0
2025-06-08,Oklahoma City Thunder,OKC vs. IND,W,123,16.0
2025-06-08,Indiana Pacers,IND @ OKC,L,107,-16.0
2025-06-05,Oklahoma City Thunder,OKC vs. IND,L,110,-1.0
2025-06-05,Indiana Pacers,IND @ OKC,W,111,1.0
2025-05-31,Indiana Pacers,IND vs. NYK,W,125,17.0
2025-05-31,New York Knicks,NYK @ IND,L,108,-17.0
2025-05-29,Indiana Pacers,IND @ NYK,L,94,-17.0
2025-05-29,New York Knicks,NYK vs. IND,W,111,17.0
2025-05-28,Minnesota Timberwolves,MIN @ OKC,L,94,-30.0
2025-05-28,Oklahoma City Thunder,OKC vs. MIN,W,124,30.0
2025-05-27,New York Knicks,NYK @ IND,L,121,-9.0
2025-05-27,Indiana Pacers,IND vs. NYK,W,130,9.0
2025-05-26,Oklahoma City Thunder,OKC @ MIN,W,128,2.0
2025-05-26,Minnesota Timberwolves,MIN vs. OKC,L,126,-2.0
2025-05-25,Indiana Pacers,IND vs. NYK,L,100,-6.0
2025-05-25,New York Knicks,NYK @ IND,W,106,6.0
2025-05-24,Oklahoma City Thunder,OKC @ MIN,L,101,-42.0
2025-05-24,Minnesota Timberwolves,MIN vs. OKC,W,143,42.0
2025-05-23,Indiana Pacers,IND @ NYK,W,114,5.0
2025-05-23,New York Knicks,NYK vs. IND,L,109,-5.0
2025-05-22,Oklahoma City Thunder,OKC vs. MIN,W,118,15.0
2025-05-22,Minnesota Timberwolves,MIN @ OKC,L,103,-15.0
2025-05-21,Indiana Pacers,IND @ NYK,W,138,3.0
2025-05-21,New York Knicks,NYK vs. IND,L,135,-3.0
2025-05-20,Minnesota Timberwolves,MIN @ OKC,L,88,-26.0
2025-05-20,Oklahoma City Thunder,OKC vs. MIN,W,114,26.0
2025-05-18,Denver Nuggets,DEN @ OKC,L,93,-32.0
2025-05-18,Oklahoma City Thunder,OKC vs. DEN,W,125,32.0
2025-05-16,Boston Celtics,BOS @ NYK,L,81,-38.0
2025-05-16,New York Knicks,NYK vs. BOS,W,119,38.0
2025-05-15,Oklahoma City Thunder,OKC @ DEN,L,107,-12.0
2025-05-15,Denver Nuggets,DEN vs. OKC,W,119,12.0
2025-05-14,Golden State Warriors,GSW @ MIN,L,110,-11.0
2025-05-14,Minnesota Timberwolves,MIN vs. GSW,W,121,11.0
2025-05-14,Boston Celtics,BOS vs. NYK,W,127,25.0
2025-05-14,New York Knicks,NYK @ BOS,L,102,-25.0
2025-05-13,Indiana Pacers,IND @ CLE,W,114,9.0
2025-05-13,Oklahoma City Thunder,OKC vs. DEN,W,112,7.0
2025-05-13,Cleveland Cavaliers,CLE vs. IND,L,105,-9.0
2025-05-13,Denver Nuggets,DEN @ OKC,L,105,-7.0
2025-05-12,Golden State Warriors,GSW vs. MIN,L,110,-7.0
2025-05-12,Boston Celtics,BOS @ NYK,L,113,-8.0
2025-05-12,Minnesota Timberwolves,MIN @ GSW,W,117,7.0
2025-05-12,New York Knicks,NYK vs. BOS,W,121,8.0
2025-05-11,Indiana Pacers,IND vs. CLE,W,129,20.0
2025-05-11,Denver Nuggets,DEN vs. OKC,L,87,-5.0
2025-05-11,Cleveland Cavaliers,CLE @ IND,L,109,-20.0
2025-05-11,Oklahoma City Thunder,OKC @ DEN,W,92,5.0
2025-05-10,Golden State Warriors,GSW vs. MIN,L,97,-5.0
2025-05-10,Boston Celtics,BOS @ NYK,W,115,22.0
2025-05-10,New York Knicks,NYK vs. BOS,L,93,-22.0
2025-05-10,Minnesota Timberwolves,MIN @ GSW,W,102,5.0
2025-05-09,Indiana Pacers,IND vs. CLE,L,104,-22.0
2025-05-09,Denver Nuggets,DEN vs. OKC,W,113,9.0
2025-05-09,Cleveland Cavaliers,CLE @ IND,W,126,22.0
2025-05-09,Oklahoma City Thunder,OKC @ DEN,L,104,-9.0
2025-05-08,Golden State Warriors,GSW @ MIN,L,93,-24.0
